Iterations,Error,Accuracy
893,0.173615,0.794655
894,0.160729,0.794875
895,0.228653,0.795218
896,0.165776,0.795447
897,0.221762,0.79569
898,0.182276,0.795913
899,0.220784,0.796148
900,0.182492,0.796349
901,0.186511,0.796536
902,0.17021,0.796742
903,0.155584,0.796925
904,0.218488,0.797109
905,0.162267,0.79726
906,0.183905,0.7974
907,0.152802,0.797553
908,0.19519,0.797679
909,0.207494,0.797757
910,0.230405,0.797892
911,0.230123,0.798094
912,0.228934,0.798373
913,0.181197,0.798679
914,0.20705,0.798978
915,0.190596,0.79924
916,0.235018,0.799327
917,0.189883,0.799494
918,0.177651,0.79956
919,0.176923,0.799582
920,0.235448,0.799559
921,0.161986,0.799715
922,0.17431,0.799964
923,0.177755,0.800142
924,0.204732,0.800326
925,0.18026,0.800536
926,0.168609,0.800771
927,0.178388,0.801022
928,0.229236,0.801227
929,0.204729,0.801432
930,0.20205,0.801639
931,0.148101,0.801806
932,0.199179,0.801952
933,0.191212,0.802138
934,0.190456,0.802401
935,0.223274,0.802681
936,0.224106,0.802893
937,0.199604,0.803149
938,0.217028,0.803356
939,0.197531,0.803565
940,0.215694,0.803738
941,0.172505,0.803891
942,0.219996,0.804045
943,0.221533,0.804217
944,0.212248,0.804427
945,0.309125,0.804567
946,0.195793,0.804799
947,0.165531,0.804927
948,0.146456,0.805061
949,0.305113,0.805244
950,0.302838,0.805521
951,0.19021,0.805805
952,0.195853,0.80609
953,0.156957,0.806243
954,0.174356,0.806322
955,0.144183,0.806443
956,0.219228,0.806521
957,0.215734,0.806637
958,0.190527,0.806795
959,0.185563,0.806927
960,0.155377,0.807063
961,0.170275,0.807203
962,0.141221,0.807357
963,0.213377,0.807477
964,0.209929,0.80762
965,0.166657,0.807843
966,0.185574,0.807992
967,0.18867,0.808183
968,0.163959,0.808342
969,0.193294,0.808433
970,0.184141,0.808583
971,0.151607,0.808789
972,0.220864,0.80896
973,0.18201,0.809263
974,0.207257,0.809571
975,0.188329,0.809891
976,0.195574,0.810169
977,0.164225,0.810428
978,0.194096,0.810678
979,0.162049,0.810846
980,0.171,0.810926
981,0.191287,0.811021
982,0.295728,0.811047
983,0.294686,0.811179
984,0.175173,0.81139
985,0.140045,0.81158
986,0.189445,0.811728
987,0.160025,0.811848
988,0.162805,0.811959
989,0.153903,0.812082
990,0.18719,0.812309
991,0.158494,0.812499
992,0.188267,0.812723
993,0.205763,0.812971
994,0.179137,0.813256
995,0.281617,0.813491
996,0.137015,0.813674
997,0.15023,0.813831
998,0.184938,0.813994
999,0.135859,0.814137
1000,0.278716,0.814247
