Iterations,Error
1135,0.388008
1136,0.388008
1137,0.388008
1138,0.388008
1139,0.388008
1140,0.388008
1141,0.388008
1142,0.388009
1143,0.388009
1144,0.388009
1145,0.388009
1146,0.388009
1147,0.388009
1148,0.388009
1149,0.388009
1150,0.388009
1151,0.388009
1152,0.388009
1153,0.38801
1154,0.38801
1155,0.38801
1156,0.38801
1157,0.38801
1158,0.38801
1159,0.38801
1160,0.38801
1161,0.38801
1162,0.38801
1163,0.38801
1164,0.38801
1165,0.388011
1166,0.388011
1167,0.388011
1168,0.388011
1169,0.388011
1170,0.388011
1171,0.388011
1172,0.388011
1173,0.388011
1174,0.388011
1175,0.388011
1176,0.388012
1177,0.388012
1178,0.388012
1179,0.388012
1180,0.388012
1181,0.388012
1182,0.388012
1183,0.388012
1184,0.388012
1185,0.388012
1186,0.388012
1187,0.388012
1188,0.388013
1189,0.388013
1190,0.388013
1191,0.388013
1192,0.388013
1193,0.388013
1194,0.388013
1195,0.388013
1196,0.388013
1197,0.388013
1198,0.388013
1199,0.388014
1200,0.388014
1201,0.388014
1202,0.388014
1203,0.388014
1204,0.388014
1205,0.388014
1206,0.388014
1207,0.388014
1208,0.388014
1209,0.388014
1210,0.388015
1211,0.388015
1212,0.388015
1213,0.388015
1214,0.388015
1215,0.388015
1216,0.388015
1217,0.388015
1218,0.388015
1219,0.388015
1220,0.388015
1221,0.388015
1222,0.388016
1223,0.388016
1224,0.388016
1225,0.388016
1226,0.388016
1227,0.388016
1228,0.388016
1229,0.388016
1230,0.388016
1231,0.388016
1232,0.388016
1233,0.388017
1234,0.388017
1235,0.388017
1236,0.388017
1237,0.388017
1238,0.388017
1239,0.388017
1240,0.388017
1241,0.388017
1242,0.388017
1243,0.388017
1244,0.388017
1245,0.388018
1246,0.388018
1247,0.388018
1248,0.388018
1249,0.388018
1250,0.388018
1251,0.388018
1252,0.388018
1253,0.388018
1254,0.388018
1255,0.388018
1256,0.388018
1257,0.388019
1258,0.388019
1259,0.388019
1260,0.388019
1261,0.388019
1262,0.388019
1263,0.388019
1264,0.388019
1265,0.388019
1266,0.388019
1267,0.388019
1268,0.38802
1269,0.38802
1270,0.38802
1271,0.38802
1272,0.38802
1273,0.38802
1274,0.38802
1275,0.38802
1276,0.38802
1277,0.38802
1278,0.38802
1279,0.38802
1280,0.388021
1281,0.388021
1282,0.388021
1283,0.388021
1284,0.388021
1285,0.388021
1286,0.388021
1287,0.388021
1288,0.388021
1289,0.388021
1290,0.388021
1291,0.388022
1292,0.388022
1293,0.388022
1294,0.388022
1295,0.388022
1296,0.388022
1297,0.388022
1298,0.388022
1299,0.388022
1300,0.388022
1301,0.388022
1302,0.388022
1303,0.388023
1304,0.388023
1305,0.388023
1306,0.388023
1307,0.388023
1308,0.388023
1309,0.388023
1310,0.388023
1311,0.388023
1312,0.388023
1313,0.388023
1314,0.388023
1315,0.388024
1316,0.388024
1317,0.388024
1318,0.388024
1319,0.388024
1320,0.388024
1321,0.388024
1322,0.388024
1323,0.388024
1324,0.388024
1325,0.388024
1326,0.388025
1327,0.388025
1328,0.388025
1329,0.388025
1330,0.388025
1331,0.388025
1332,0.388025
1333,0.388025
1334,0.388025
1335,0.388025
1336,0.388025
1337,0.388025
1338,0.388026
1339,0.388026
1340,0.388026
1341,0.388026
1342,0.388026
1343,0.388026
1344,0.388026
1345,0.388026
1346,0.388026
1347,0.388026
1348,0.388026
1349,0.388026
1350,0.388027
1351,0.388027
1352,0.388027
1353,0.388027
1354,0.388027
1355,0.388027
1356,0.388027
1357,0.388027
1358,0.388027
1359,0.388027
1360,0.388027
1361,0.388027
1362,0.388028
1363,0.388028
1364,0.388028
1365,0.388028
1366,0.388028
1367,0.388028
1368,0.388028
1369,0.388028
1370,0.388028
1371,0.388028
1372,0.388028
1373,0.388029
1374,0.388029
1375,0.388029
1376,0.388029
1377,0.388029
1378,0.388029
1379,0.388029
1380,0.388029
1381,0.388029
1382,0.388029
1383,0.388029
1384,0.388029
1385,0.38803
1386,0.38803
1387,0.38803
1388,0.38803
1389,0.38803
1390,0.38803
1391,0.38803
1392,0.38803
1393,0.38803
1394,0.38803
1395,0.38803
1396,0.38803
1397,0.388031
1398,0.388031
1399,0.388031
1400,0.388031
1401,0.388031
1402,0.388031
1403,0.388031
1404,0.388031
1405,0.388031
1406,0.388031
1407,0.388031
1408,0.388031
1409,0.388032
1410,0.388032
1411,0.388032
1412,0.388032
1413,0.388032
1414,0.388032
1415,0.388032
1416,0.388032
1417,0.388032
1418,0.388032
1419,0.388032
1420,0.388032
1421,0.388033
1422,0.388033
1423,0.388033
1424,0.388033
1425,0.388033
1426,0.388033
1427,0.388033
1428,0.388033
1429,0.388033
1430,0.388033
1431,0.388033
1432,0.388033
1433,0.388034
1434,0.388034
1435,0.388034
1436,0.388034
1437,0.388034
1438,0.388034
1439,0.388034
1440,0.388034
1441,0.388034
1442,0.388034
1443,0.388034
1444,0.388034
1445,0.388035
1446,0.388035
1447,0.388035
1448,0.388035
1449,0.388035
1450,0.388035
1451,0.388035
1452,0.388035
1453,0.388035
1454,0.388035
1455,0.388035
1456,0.388035
1457,0.388036
1458,0.388036
1459,0.388036
1460,0.388036
1461,0.388036
1462,0.388036
1463,0.388036
1464,0.388036
1465,0.388036
1466,0.388036
1467,0.388036
1468,0.388036
1469,0.388037
1470,0.388037
1471,0.388037
1472,0.388037
1473,0.388037
1474,0.388037
1475,0.388037
1476,0.388037
1477,0.388037
1478,0.388037
1479,0.388037
1480,0.388037
1481,0.388038
1482,0.388038
1483,0.388038
1484,0.388038
1485,0.388038
1486,0.388038
1487,0.388038
1488,0.388038
1489,0.388038
1490,0.388038
1491,0.388038
1492,0.388038
1493,0.388039
1494,0.388039
1495,0.388039
1496,0.388039
1497,0.388039
1498,0.388039
1499,0.388039
1500,0.388039
1501,0.388039
1502,0.388039
1503,0.388039
1504,0.388039
1505,0.38804
1506,0.38804
1507,0.38804
1508,0.38804
1509,0.38804
1510,0.38804
1511,0.38804
1512,0.38804
1513,0.38804
1514,0.38804
1515,0.38804
1516,0.38804
1517,0.388041
1518,0.388041
1519,0.388041
1520,0.388041
1521,0.388041
1522,0.388041
1523,0.388041
1524,0.388041
1525,0.388041
1526,0.388041
1527,0.388041
1528,0.388041
1529,0.388042
1530,0.388042
1531,0.388042
1532,0.388042
1533,0.388042
1534,0.388042
1535,0.388042
1536,0.388042
1537,0.388042
1538,0.388042
1539,0.388042
1540,0.388042
1541,0.388043
1542,0.388043
1543,0.388043
1544,0.388043
1545,0.388043
1546,0.388043
1547,0.388043
1548,0.388043
1549,0.388043
1550,0.388043
1551,0.388043
1552,0.388043
1553,0.388043
1554,0.388044
1555,0.388044
1556,0.388044
1557,0.388044
1558,0.388044
1559,0.388044
1560,0.388044
1561,0.388044
1562,0.388044
1563,0.388044
1564,0.388044
1565,0.388044
1566,0.388045
1567,0.388045
1568,0.388045
1569,0.388045
1570,0.388045
1571,0.388045
1572,0.388045
1573,0.388045
1574,0.388045
1575,0.388045
1576,0.388045
1577,0.388045
1578,0.388046
1579,0.388046
1580,0.388046
1581,0.388046
1582,0.388046
1583,0.388046
1584,0.388046
1585,0.388046
1586,0.388046
1587,0.388046
1588,0.388046
1589,0.388046
